name,price,store,location,sold,details_link
MORINGA PYRAMID TEA --- Teh Celup Piramid Daun Kelor Organik Premium,Rp35.000,Moringa Organik Indonesia Official,,2rb+ terjual,https://www.tokopedia.com/kelorina/moringa-pyramid-tea-teh-celup-piramid-daun-kelor-organik-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
"Herbana Relief Sari Daun Kelor Moringa Sumber Nutrisi, Vitamin- 30 Kapsul",Rp70.000,HERBANA,,750+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-daun-kelor-moringa-sumber-nutrisi-vitamin-30-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
"Herbana Relief Sari Powder Daun Kelor Moringa Sumber Nutrisi, Vitamin- Isi 30 Sachet @4g",Rp149.000,HERBANA,Tangerang,90+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-powder-daun-kelor-moringa-sumber-nutrisi-vitamin-isi-30-sachet-4g?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Daun Kelor Bubuk / Moringa Powder Premium Original Nutrione,Rp59.500,NutriOneID,Jakarta Utara,1rb+ terjual,https://www.tokopedia.com/nutrioneid/daun-kelor-bubuk-moringa-powder-premium-original-nutrione?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
"Naturebell Moringa Oleifera 8,000mg - 240 Capsules-Non-GMO,Gluten Free",Rp650.000,heavenlyvitamin,Jakarta Barat,60+ terjual,https://www.tokopedia.com/heavenlyvitamin/naturebell-moringa-oleifera-8-000mg-240-capsules-non-gmo-gluten-free?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Dari Bumi Moricle Moringa Latte Minuman Bubuk Kelor Latte 200 Gram,Rp37.000,daribumiofficial,Jakarta Barat,100+ terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-moricle-moringa-latte-minuman-bubuk-kelor-latte-200-gram?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Daun Kelor Moringa Bubuk Organik Premium Galleo,Rp24.900,GALLEO Official Shop,Jakarta Utara,500+ terjual,https://www.tokopedia.com/galleo/daun-kelor-moringa-bubuk-organik-premium-galleo-jar-m-2aa66?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
MORINGA PYRAMID TEA --- Teh Celup Piramid Daun Kelor Organik Premium,Rp35.000,Moringa Organik Indonesia Official,Kab. Blora,2rb+ terjual,https://www.tokopedia.com/kelorina/moringa-pyramid-tea-teh-celup-piramid-daun-kelor-organik-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Moringa Powder 350 gram Bubuk Daun Kelor Authentic Safiya Food,Rp33.990,Safiya Food Official,Jakarta Barat,1rb+ terjual,https://www.tokopedia.com/safiyafood/moringa-powder-350-gram-bubuk-daun-kelor-authentic-safiya-food?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Bubuk Daun Kelor Organik / Organic Moringa Powder - 250g,Rp49.000,Nilaya Official Store,Denpasar,1rb+ terjual,https://www.tokopedia.com/nilaya-co/bubuk-daun-kelor-organik-organic-moringa-powder-250g?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
KELORINA - ROYAL MORINGA POWDER - Tepung Daun Kelor halus Mesh2,Rp85.000,Moringa Organik Indonesia Official,Kab. Blora,250+ terjual,https://www.tokopedia.com/kelorina/kelorina-royal-moringa-powder-tepung-daun-kelor-halus-mesh2-250-gram-e6b25?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Moringa Series (Paket Daun Kelor),Rp95.000,LHI Official,Bogor,7 terjual,https://www.tokopedia.com/lhiofficial/moringa-series-paket-daun-kelor?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
KELORINA - ROYAL MORINGA POWDER - Tepung Daun Kelor halus Mesh1,Rp85.000,Moringa Organik Indonesia Official,Kab. Blora,750+ terjual,https://www.tokopedia.com/kelorina/kelorina-royal-moringa-powder-tepung-daun-kelor-halus-mesh1-250-gram-9ff28?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
MORINGA TEA - TEH DAUN KELOR ISI 30 TEA BAG,Rp21.000,elif Tea & Tisane,Kab. Cirebon,2rb+ terjual,https://www.tokopedia.com/eliftea/moringa-tea-teh-daun-kelor-isi-30-tea-bag-pure-moringa?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
Beorganik Moringa Powder / Bubuk Daun Kelor Organik 50gr,Rp11.000,Beorganik Store,Jakarta Barat,2rb+ terjual,https://www.tokopedia.com/beorganik/beorganik-moringa-powder-bubuk-daun-kelor-organik-50gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Flozindo Moringa Tea / Teh Daun Kelor Organik,Rp12.393,Flozindo,Kab. Banyumas,750+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-tea-teh-daun-kelor-organik-pack-45gr-319e5?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
SOAPILY Binahong Moringa Soap Sabun Alami Kelor Kulit Jerawat Natural,Rp18.000,Soapily Naturals,Kab. Tangerang,100+ terjual,https://www.tokopedia.com/soapilyid/soapily-binahong-moringa-soap-sabun-alami-kelor-kulit-jerawat-natural-half-45-55-g-ccaa3?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Natur Hair Conditioner Gingseng - Olive Oil - Moringa 165ML,Rp24.500,Mega Beauty Fashindo,Kab. Tangerang,2rb+ terjual,https://www.tokopedia.com/megabeautyf/natur-hair-conditioner-gingseng-olive-oil-moringa-165ml-cond-argan-oil-0a9dd?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
KELORINA - ROYAL MORINGA POWDER - Tepung Daun Kelor halus Mesh1,Rp85.000,Moringa Organik Indonesia Official,Kab. Blora,750+ terjual,https://www.tokopedia.com/kelorina/kelorina-royal-moringa-powder-tepung-daun-kelor-halus-mesh1-250-gram-9ff28?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
KUNDAL Honey & Macadamia Shampoo Acacia Moringa Made in Korea,Rp119.000,Kundal Official,Kab. Bekasi,2rb+ terjual,https://www.tokopedia.com/kundalofficial/kundal-honey-macadamia-shampoo-acacia-moringa-made-in-korea?extParam=cmp%3D1%26ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Dari Bumi Daun Kelor Moringa Bubuk Premium Pure Organic,Rp45.000,Nisyasa Store,Kab. Batang,24 terjual,https://www.tokopedia.com/nisyasastore/dari-bumi-daun-kelor-moringa-bubuk-premium-pure-organic-450gram-e486f?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Bubuk kelor moringa murni 1kg,Rp6.900,GROSIR HERBAL CURAH,Kab. Bogor,250+ terjual,https://www.tokopedia.com/grosir-herbal-curah/bubuk-kelor-moringa-murni-1kg-100-gram?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Bubuk Daun Kelor Organik 250 gr Powder Moringa Original Safiya Herbal,Rp24.500,Hannah Store Official,Jakarta Barat,1rb+ terjual,https://www.tokopedia.com/hannahstoreofficial/bubuk-daun-kelor-organik-250-gr-powder-moringa-original-safiya-herbal?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Flozindo Moringa Powder / Daun Kelor Bubuk,Rp17.093,Flozindo,Kab. Banyumas,1rb+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-powder-daun-kelor-bubuk-slim-108gr-6bd07?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
SIDOMUNCUL SARI DAUN KELOR 50' MORINGA OLEIFERA SIDO MUNCUL D.KELOR,Rp70.896,Toko obat palembang,Bandung,750+ terjual,https://www.tokopedia.com/topalembang/sidomuncul-sari-daun-kelor-50-moringa-oleifera-sido-muncul-d-kelor?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Herbal Essences Shampoo Bio Renew Golden Moringa 400 ml,Rp110.000,P&G Official Store,Jakarta Timur,2rb+ terjual,https://www.tokopedia.com/pgofficialstore/herbal-essences-shampoo-bio-renew-golden-moringa-400-ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Moringa Liza Herbal Green Tea Celup Untuk Kekebalan Tubuh,Rp35.000,LHI Official,Bogor,2 terjual,https://www.tokopedia.com/lhiofficial/moringa-liza-herbal-green-tea-celup-untuk-kekebalan-tubuh?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Pure Organic Moringa Oil Minyak Kelor Murni 20mL,Rp49.000,fortune oke,Jakarta Selatan,100+ terjual,https://www.tokopedia.com/fortuneoke/pure-organic-moringa-oil-minyak-kelor-murni-20ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
[BUY 1 GET 1] Moringa-Infused Collagen Drink 1 Box (12 SACHETS X 2 Box),Rp320.000,Elora Beauty Store,Jakarta Barat,23 terjual,https://www.tokopedia.com/elorabeauty/buy-1-get-1-moringa-infused-collagen-drink-1-box-12-sachets-x-2-box?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
NATURELINE MORINGA 60 TABLET / SUPLEMEN KESEHATAN / KIMIA FARMA,Rp265.290,Kimia Farma Apotek Bodetabek,Jakarta Pusat,1 terjual,https://www.tokopedia.com/kimiafarmabodetabek/natureline-moringa-60-tablet-suplemen-kesehatan-kimia-farma?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26whid%3D16728087&src=topads
Daun Kelor Bubuk / Moringa Powder Premium Original Nutrione,Rp59.500,NutriOneID,Jakarta Utara,1rb+ terjual,https://www.tokopedia.com/nutrioneid/daun-kelor-bubuk-moringa-powder-premium-original-nutrione?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Safiya Moringa Latte Bubuk Minuman Daun Kelor 200 Gram,Rp28.990,Safiya Food Official,Jakarta Barat,50+ terjual,https://www.tokopedia.com/safiyafood/safiya-moringa-latte-bubuk-minuman-daun-kelor-200-gram?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Beorganik Moringa Powder / Bubuk Daun Kelor Organik 50gr,Rp11.000,Beorganik Store,Jakarta Barat,2rb+ terjual,https://www.tokopedia.com/beorganik/beorganik-moringa-powder-bubuk-daun-kelor-organik-50gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
KUNDAL Honey & Macadamia Pure Body Wash Acacia Moringa (Made in Korea),Rp119.000,Kundal Official,Kab. Bekasi,750+ terjual,https://www.tokopedia.com/kundalofficial/kundal-honey-macadamia-pure-body-wash-acacia-moringa-made-in-korea?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Daun Kelor Bubuk / Organic Moringa Powder,Rp12.000,Essenli Official Shop,Semarang,100+ terjual,https://www.tokopedia.com/essenliofficial/daun-kelor-bubuk-organic-moringa-powder-1730794984019428966?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Pro Moringa BPOM baru Ekstrak Daun Kelor Ash Shihhah 50 kapsul,Rp18.500,Musyaffa Herbal,,100+ terjual,https://www.tokopedia.com/musyaffaherbal/pro-moringa-bpom-baru-ekstrak-daun-kelor-ash-shihhah-50-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Moringa Oleifera 180 Kapsul Naturama Bubuk Daun Kelor Organik,Rp172.500,Naturama Store,Jakarta Selatan,1rb+ terjual,https://www.tokopedia.com/naturama/moringa-oleifera-180-kapsul-naturama-bubuk-daun-kelor-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Pome Optimun Elderberry & Moringa Gummy - 60 Butir,Rp149.000,Beeru Official Store,Tangerang Selatan,100+ terjual,https://www.tokopedia.com/beeruindonesia/pome-optimun-elderberry-moringa-gummy-60-butir?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Teh kelor organik (Moringa Drip Tea),Rp71.346,La Moringa Indonesia,Jakarta Selatan,1rb+ terjual,https://www.tokopedia.com/lamoringa/teh-kelor-organik-moringa-drip-tea-original-abf81?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
DARI BUMI Daun Kelor Moringa Bubuk Original Premium,Rp43.000,NutriBite,Surabaya,50+ terjual,https://www.tokopedia.com/nutribite/dari-bumi-daun-kelor-moringa-bubuk-original-premium?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Daun Kelor Kapsul Reg BPOM.TR Ekstrak Murni / Moringa Oleifera Kapsul,Rp95.000,INDO PROSMART,Kab. Bandung,100+ terjual,https://www.tokopedia.com/indoprosmart/daun-kelor-kapsul-reg-bpom-tr-ekstrak-murni-moringa-oleifera-kapsul-1-botol?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Herbal Essences Sampo + Kondisioner Repair Moringa Oil 400ml,Rp195.300,P&G Official Store,Jakarta Timur,1rb+ terjual,https://www.tokopedia.com/pgofficialstore/herbal-essences-sampo-kondisioner-repair-moringa-oil-400ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Moringa Powder 350 gram Bubuk Daun Kelor Authentic Safiya Food,Rp33.990,Safiya Food Official,Jakarta Barat,1rb+ terjual,https://www.tokopedia.com/safiyafood/moringa-powder-350-gram-bubuk-daun-kelor-authentic-safiya-food?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
Flozindo Moringa Powder / Daun Kelor Bubuk,Rp17.093,Flozindo,Kab. Banyumas,1rb+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-powder-daun-kelor-bubuk-slim-108gr-6bd07?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
Bleuherbz Moringa Oleifera Pure Extract Green Superfood Original 100%,Rp55.000,Bleuherbz Natural,Jakarta Barat,100+ terjual,https://www.tokopedia.com/bleuherbznatural/bleuherbz-moringa-oleifera-pure-extract-green-superfood-original-100?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dmoringa&src=topads
3 BOX - Susu ETAWANESIA + EKSTRAK MORINGA FOLIUM Solusi Nafas & Tulang,Rp218.000,Etawanesia Official,Kab. Tangerang,100+ terjual,https://www.tokopedia.com/etawanesiaofficial/3-box-susu-etawanesia-ekstrak-moringa-folium-solusi-nafas-tulang?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Terbaru Kelor Africa MORINGA 3-4-5-6 METER,Rp9.500.000,Landscape_Garden,Kab. Bogor,4 terjual,https://www.tokopedia.com/landscapegarden/terbaru-kelor-africa-moringa-3-4-5-6-meter?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Moringa Super - Drink Tinggi Protein 1 Box (12 Sachet) | Susu Sereal Rasa Cokelat | Minuman Whey Protein | Minuman Soy & Oat Rasa Dark Chocolate | Minuman Sehat Jaga Imun | Minuman Sehat Untuk Sarapan | Meal Replacement,Rp213.000,Elora Beauty Store,Jakarta Barat,1rb+ terjual,https://www.tokopedia.com/elorabeauty/moringa-super-drink-tinggi-protein-1-box-12-sachet-susu-sereal-rasa-cokelat-minuman-whey-protein-minuman-soy-oat-rasa-dark-chocolate-minuman-sehat-jaga-imun-minuman-sehat-untuk-sarapan-meal-replacement-1729583363567421717?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Natur Hair Conditioner 165ml Gingseng | Aloe Vera | Moringa,Rp31.912,AYUCOSMETICS,Bekasi,100+ terjual,https://www.tokopedia.com/ayucosmetics-1/natur-hair-conditioner-165ml-gingseng-aloe-vera-moringa-argan-oil-52c6b?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Biji Kelor Kupas Moringa Obat Herbal Diabetes Jantung Hipertensi,Rp12.000,Morifa Official,Jakarta Barat,500+ terjual,https://www.tokopedia.com/morifa-official/biji-kelor-kupas-moringa-obat-herbal-diabetes-jantung-hipertensi-50gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
DAUN KELOR 500 GRAM KERING PREMIUM / DAUN MORINGA,Rp12.000,Rempah Bu Risma,Kab. Bekasi,500+ terjual,https://www.tokopedia.com/rempahburisma/daun-kelor-500-gram-kering-premium-daun-moringa-50-gram-015ac?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Xemenry Organic Moringa 100% Pure 1000mg 120Capsules,Rp250.000,Official Glucoactive,Jakarta Barat,27 terjual,https://www.tokopedia.com/officialglucoactive/xemenry-organic-moringa-100-pure-1000mg-120capsules?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Kapsul Daun Kelor Moringa - Kapsul Kelor Curah Tanpa Penanda,Rp375.000,Moringa Organik Indonesia Official,Kab. Blora,10rb+ terjual,https://www.tokopedia.com/kelorina/kapsul-daun-kelor-moringa-kapsul-kelor-curah-tanpa-penanda?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
KUNDAL Moisture Body Lotion Acacia Moringa 500ml,Rp129.000,Kundal Official,Kab. Bekasi,500+ terjual,https://www.tokopedia.com/kundalofficial/kundal-moisture-body-lotion-acacia-moringa-500ml?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Bibit pohon moringa /  pohon kelor afrika,Rp250.000,Nuansa Taman Baru16,Kab. Bogor,11 terjual,https://www.tokopedia.com/nuansatamanbaru16/bibit-pohon-moringa-pohon-kelor-afrika?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Dari Bumi Paket Bundling Daun Kelor Bubuk Moringa 400 Gram Dan Madu Murni Akasia 350 Gram Raw Honey Asli,Rp75.000,daribumiofficial,Jakarta Barat,500+ terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-paket-bundling-daun-kelor-bubuk-moringa-400-gram-dan-madu-murni-akasia-350-gram-raw-honey-asli?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Herbilogy Moringa (Daun kelor) Extract Powder - 100g,Rp117.000,Herbilogy,Kab. Bogor,500+ terjual,https://www.tokopedia.com/herbilogy/herbilogy-moringa-daun-kelor-extract-powder-100g-2f11?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
